"filename", "language", "TypeScript", "JSON with Comments", "MS SQL", "HTML", "Markdown", "JSON", "vue", "YAML", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"d:\Program\IKUN_Manager\.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 2, 16
"d:\Program\IKUN_Manager\.github\workflows\main.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 10, 51
"d:\Program\IKUN_Manager\.prettierrc.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Program\IKUN_Manager\README.md", "Markdown", 0, 0, 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 25, 176
"d:\Program\IKUN_Manager\env.d.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 9
"d:\Program\IKUN_Manager\ikun_db.sql", "MS SQL", 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 51, 15, 222
"d:\Program\IKUN_Manager\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\Program\IKUN_Manager\package-lock.json", "JSON", 0, 0, 0, 0, 0, 11412, 0, 0, 0, 0, 0, 0, 1, 11413
"d:\Program\IKUN_Manager\package.json", "JSON", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 1, 55
"d:\Program\IKUN_Manager\src\App.vue", "vue", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\Program\IKUN_Manager\src\api\class.ts", "TypeScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 11, 107
"d:\Program\IKUN_Manager\src\api\config.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 34
"d:\Program\IKUN_Manager\src\api\dept.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 65
"d:\Program\IKUN_Manager\src\api\employee.ts", "TypeScript", 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 14, 156
"d:\Program\IKUN_Manager\src\api\exam.ts", "TypeScript", 240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 22, 335
"d:\Program\IKUN_Manager\src\api\log.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 8, 82
"d:\Program\IKUN_Manager\src\api\score.ts", "TypeScript", 238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 30, 307
"d:\Program\IKUN_Manager\src\api\student.ts", "TypeScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 11, 114
"d:\Program\IKUN_Manager\src\api\user.ts", "TypeScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 9, 98
"d:\Program\IKUN_Manager\src\assets\base.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 2, 14, 75
"d:\Program\IKUN_Manager\src\assets\dashboard.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 30
"d:\Program\IKUN_Manager\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Program\IKUN_Manager\src\assets\main.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 194, 24, 43, 261
"d:\Program\IKUN_Manager\src\components\AppLink.vue", "vue", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 4, 40
"d:\Program\IKUN_Manager\src\components\Breadcrumb.vue", "vue", 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 13, 91
"d:\Program\IKUN_Manager\src\components\SidebarItem.vue", "vue", 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 2, 11, 98
"d:\Program\IKUN_Manager\src\layouts\DefaultLayout.vue", "vue", 0, 0, 0, 0, 0, 0, 389, 0, 0, 0, 0, 6, 58, 453
"d:\Program\IKUN_Manager\src\main.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 61
"d:\Program\IKUN_Manager\src\mock\index.ts", "TypeScript", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 15, 134
"d:\Program\IKUN_Manager\src\router\index.ts", "TypeScript", 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 11, 201
"d:\Program\IKUN_Manager\src\server\README.md", "Markdown", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 27, 96
"d:\Program\IKUN_Manager\src\server\classService.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 235, 0, 0, 52, 44, 331
"d:\Program\IKUN_Manager\src\server\config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 7, 3, 31
"d:\Program\IKUN_Manager\src\server\db.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 15, 7, 92
"d:\Program\IKUN_Manager\src\server\deptService.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 208, 0, 0, 51, 42, 301
"d:\Program\IKUN_Manager\src\server\employeeService.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 435, 0, 0, 77, 64, 576
"d:\Program\IKUN_Manager\src\server\examService.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 308, 0, 0, 84, 45, 437
"d:\Program\IKUN_Manager\src\server\fix_exam_types_api.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Program\IKUN_Manager\src\server\hashPasswords.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 10, 14, 98
"d:\Program\IKUN_Manager\src\server\logService.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 40, 25, 207
"d:\Program\IKUN_Manager\src\server\package-lock.json", "JSON", 0, 0, 0, 0, 0, 2518, 0, 0, 0, 0, 0, 0, 1, 2519
"d:\Program\IKUN_Manager\src\server\package.json", "JSON", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 29
"d:\Program\IKUN_Manager\src\server\scoreService.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 567, 0, 0, 119, 105, 791
"d:\Program\IKUN_Manager\src\server\server.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 457, 0, 0, 66, 61, 584
"d:\Program\IKUN_Manager\src\server\studentService.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 402, 0, 0, 75, 63, 540
"d:\Program\IKUN_Manager\src\server\userService.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 197, 0, 0, 71, 24, 292
"d:\Program\IKUN_Manager\src\stores\config.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 55
"d:\Program\IKUN_Manager\src\stores\counter.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 22
"d:\Program\IKUN_Manager\src\stores\user.ts", "TypeScript", 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 21, 281
"d:\Program\IKUN_Manager\src\styles\dark-overrides.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 14, 18, 99
"d:\Program\IKUN_Manager\src\types\class.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 41
"d:\Program\IKUN_Manager\src\types\common.ts", "TypeScript", 291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 39, 370
"d:\Program\IKUN_Manager\src\types\dept.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 38
"d:\Program\IKUN_Manager\src\types\employee.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 72
"d:\Program\IKUN_Manager\src\types\exam.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 37
"d:\Program\IKUN_Manager\src\types\log.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 32
"d:\Program\IKUN_Manager\src\types\pagination.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\Program\IKUN_Manager\src\types\path-browserify.d.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"d:\Program\IKUN_Manager\src\types\response.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Program\IKUN_Manager\src\types\score.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 69
"d:\Program\IKUN_Manager\src\types\scoreReport.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 37
"d:\Program\IKUN_Manager\src\types\statistics.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 47
"d:\Program\IKUN_Manager\src\types\student.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 77
"d:\Program\IKUN_Manager\src\types\user.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 39
"d:\Program\IKUN_Manager\src\utils\eventBus.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Program\IKUN_Manager\src\utils\export.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Program\IKUN_Manager\src\utils\logger.ts", "TypeScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 82
"d:\Program\IKUN_Manager\src\utils\request.ts", "TypeScript", 505, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 39, 609
"d:\Program\IKUN_Manager\src\utils\validate.ts", "TypeScript", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 15, 169
"d:\Program\IKUN_Manager\src\views\BackgroundSlider\BackgroundSlider.vue", "vue", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 10, 72
"d:\Program\IKUN_Manager\src\views\clazz\index.vue", "vue", 0, 0, 0, 0, 0, 0, 773, 0, 0, 0, 0, 7, 88, 868
"d:\Program\IKUN_Manager\src\views\dashboard\index.vue", "vue", 0, 0, 0, 0, 0, 0, 449, 0, 0, 0, 0, 3, 46, 498
"d:\Program\IKUN_Manager\src\views\dept\index.vue", "vue", 0, 0, 0, 0, 0, 0, 482, 0, 0, 0, 0, 4, 46, 532
"d:\Program\IKUN_Manager\src\views\empReport\empReport.vue", "vue", 0, 0, 0, 0, 0, 0, 617, 0, 0, 0, 0, 4, 64, 685
"d:\Program\IKUN_Manager\src\views\emp\index.vue", "vue", 0, 0, 0, 0, 0, 0, 989, 0, 0, 0, 0, 5, 128, 1122
"d:\Program\IKUN_Manager\src\views\error\404.vue", "vue", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 8, 60
"d:\Program\IKUN_Manager\src\views\exam\index.vue", "vue", 0, 0, 0, 0, 0, 0, 1156, 0, 0, 0, 0, 19, 141, 1316
"d:\Program\IKUN_Manager\src\views\log\log.vue", "vue", 0, 0, 0, 0, 0, 0, 401, 0, 0, 0, 0, 3, 59, 463
"d:\Program\IKUN_Manager\src\views\login\index.vue", "vue", 0, 0, 0, 0, 0, 0, 183, 0, 0, 0, 0, 1, 29, 213
"d:\Program\IKUN_Manager\src\views\profile\index.vue", "vue", 0, 0, 0, 0, 0, 0, 513, 0, 0, 0, 0, 4, 81, 598
"d:\Program\IKUN_Manager\src\views\score\index.vue", "vue", 0, 0, 0, 0, 0, 0, 1022, 0, 0, 0, 0, 5, 113, 1140
"d:\Program\IKUN_Manager\src\views\settings\index.vue", "vue", 0, 0, 0, 0, 0, 0, 189, 0, 0, 0, 0, 0, 30, 219
"d:\Program\IKUN_Manager\src\views\stuReport\stuReport.vue", "vue", 0, 0, 0, 0, 0, 0, 760, 0, 0, 0, 0, 6, 85, 851
